gene,id,z
AVEN,6644,-3.83423
KDM3A,6450,-3.831102
ERBB4,856,-3.830831
LRRC2,7293,-3.822914
UBE2F,8851,-3.821237
OLFM4,4217,-3.818725
CCNDBP1,4952,-3.818459
AKR1C1,680,-3.816103
ACACA,13,-3.806909
RIT2,2395,-3.80276
EPAS1,835,-3.801546
COL4A4,547,-3.786007
LMO4,3252,-3.781479
PHKG2,2026,-3.779625
MICAL1,7106,-3.77256
PCDHB17P,5979,-3.768362
NDUFAF4,5401,-3.766351
ELP3,6173,-3.753933
NMRK1,6094,-3.753871
ZSCAN29,8901,-3.75216
SPRN,9914,-3.750241
IFI6,984,-3.746217
RAPH1,7161,-3.739524
UNC13A,4679,-3.737623
DHCR24,695,-3.737016
LHX6,5217,-3.736993
PNOC,2082,-3.735509
DMAC2,6152,-3.725347
CHST15,5716,-3.717286
RARB,2340,-3.70883
MRPL27,5669,-3.708426
USP45,8085,-3.706458
AFAP1L2,7962,-3.705698
PPARG,2117,-3.704972
KIAA1107,4807,-3.697235
ALDH1A1,99,-3.693117
ETFB,865,-3.692055
CNTN6,5326,-3.690191
MFAP3L,3849,-3.680348
FABP3,889,-3.68025
ZDHHC3,5689,-3.672393
CD38,414,-3.659354
CTSZ,639,-3.65699
SLC24A2,5023,-3.654773
CERS6,9392,-3.652898
ANKRD55,7377,-3.650706
HEG1,6748,-3.65061
ANKRD13C,7655,-3.648385
EIF2B2,3405,-3.64451
CHRDL1,8269,-3.641985
TRAPPC1,6897,-3.640382
KCNJ5,1459,-3.636412
CNTN4,9023,-3.633141
GTF2A2,1177,-3.632397
GALNT1,1014,-3.623856
SEH1L,7700,-3.62105
SAT1,2506,-3.617157
CPLX1,4331,-3.616847
HGF,1219,-3.61623
PPM1L,9009,-3.615978
VILL,5539,-3.613812
MAP1LC3B,7676,-3.612017
MX1,1733,-3.607974
FDX1L,8388,-3.605121
LDHD,9210,-3.599479
TAC1,2740,-3.592323
PIM3,9871,-3.588476
FBXO30,7812,-3.588007
